Unnamed: 0,gender,age,marital_status,highest_qualification,nationality,ethnicity,gross_income,region,smoke,amt_weekends,amt_weekdays,type
100,Female,42,Married,GCSE/O Level,Other,White,"5,200 to 10,400",The North,No,,,
101,Female,34,Married,Higher/Sub Degree,British,White,"2,600 to 5,200",The North,No,,,
102,Female,64,Married,No Qualification,English,White,"Under 2,600",The North,No,,,
103,Female,50,Divorced,Other/Sub Degree,English,White,"15,600 to 20,800",The North,No,,,
104,Female,31,Married,ONC/BTEC,English,White,"10,400 to 15,600",The North,No,,,
105,Female,37,Married,Degree,English,White,"Above 36,400",The North,No,,,
106,Male,81,Married,Degree,English,White,"10,400 to 15,600",The North,No,,,
108,Female,59,Married,Higher/Sub Degree,English,White,"2,600 to 5,200",The North,No,,,
109,Male,66,Married,Degree,English,White,"20,800 to 28,600",The North,No,,,
110,Male,57,Married,No Qualification,English,White,"20,800 to 28,600",The North,No,,,
111,Female,78,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
112,Male,49,Married,Degree,English,White,"20,800 to 28,600",The North,No,,,
113,Female,62,Married,GCSE/O Level,English,White,"15,600 to 20,800",The North,No,,,
114,Female,17,Single,GCSE/CSE,English,White,"2,600 to 5,200",The North,No,,,
115,Female,36,Single,GCSE/O Level,English,White,"15,600 to 20,800",The North,No,,,
120,Female,43,Married,Higher/Sub Degree,English,White,"Above 36,400",The North,No,,,
121,Female,68,Widowed,No Qualification,English,White,Refused,The North,No,,,
122,Female,65,Widowed,Degree,English,White,"15,600 to 20,800",The North,No,,,
123,Female,85,Widowed,No Qualification,British,White,"5,200 to 10,400",The North,No,,,
125,Female,52,Married,Higher/Sub Degree,British,White,"15,600 to 20,800",The North,No,,,
127,Male,52,Single,ONC/BTEC,English,White,"20,800 to 28,600",The North,No,,,
130,Female,68,Married,No Qualification,English,White,"2,600 to 5,200",The North,No,,,
131,Female,34,Married,Higher/Sub Degree,Other,White,"10,400 to 15,600",The North,No,,,
136,Male,59,Widowed,GCSE/O Level,British,White,"2,600 to 5,200",The North,No,,,
137,Female,28,Single,Degree,Scottish,White,"10,400 to 15,600",The North,No,,,
138,Female,60,Married,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
139,Male,16,Single,GCSE/O Level,British,White,"Under 2,600",The North,No,,,
141,Male,34,Married,No Qualification,English,White,"15,600 to 20,800",The North,No,,,
142,Female,73,Married,No Qualification,British,White,"5,200 to 10,400",The North,No,,,
143,Male,24,Single,GCSE/O Level,English,White,"10,400 to 15,600",The North,No,,,
144,Female,36,Single,Higher/Sub Degree,British,White,"15,600 to 20,800",The North,No,,,
146,Female,74,Married,No Qualification,English,White,Refused,The North,No,,,
148,Female,30,Married,Degree,Other,White,"15,600 to 20,800",The North,No,,,
149,Female,68,Married,GCSE/O Level,English,White,"15,600 to 20,800",The North,No,,,
150,Female,49,Married,No Qualification,Refused,Refused,Refused,The North,No,,,
151,Female,47,Married,Higher/Sub Degree,English,White,"2,600 to 5,200",The North,No,,,
154,Male,72,Single,Other/Sub Degree,English,White,"15,600 to 20,800",The North,No,,,
155,Male,73,Married,Degree,English,White,"10,400 to 15,600",The North,No,,,
157,Male,53,Divorced,Degree,English,White,"Above 36,400",The North,No,,,
158,Male,17,Single,GCSE/O Level,English,White,Refused,The North,No,,,
159,Female,58,Married,GCSE/O Level,English,White,"5,200 to 10,400",The North,No,,,
160,Female,34,Married,ONC/BTEC,English,White,"10,400 to 15,600",The North,No,,,
161,Male,44,Single,GCSE/O Level,British,White,"15,600 to 20,800",The North,No,,,
162,Male,23,Single,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
163,Male,49,Married,Degree,British,White,"20,800 to 28,600",The North,No,,,
164,Male,30,Married,Degree,British,White,"15,600 to 20,800",The North,No,,,
165,Female,61,Widowed,GCSE/O Level,English,White,"5,200 to 10,400",The North,No,,,
167,Male,30,Single,Degree,British,White,"10,400 to 15,600",The North,No,,,
168,Female,44,Married,A Levels,English,White,"15,600 to 20,800",The North,No,,,
169,Male,91,Widowed,No Qualification,English,White,"Under 2,600",The North,No,,,
170,Male,40,Divorced,GCSE/O Level,British,White,"Above 36,400",The North,No,,,
171,Female,63,Married,Degree,British,White,"2,600 to 5,200",The North,No,,,
173,Female,40,Married,Higher/Sub Degree,English,White,"5,200 to 10,400",The North,No,,,
175,Female,41,Married,Degree,British,White,"28,600 to 36,400",The North,No,,,
177,Male,76,Married,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
179,Male,70,Married,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
180,Female,75,Widowed,No Qualification,British,White,"5,200 to 10,400",The North,No,,,
181,Female,74,Widowed,No Qualification,English,White,"2,600 to 5,200",The North,No,,,
182,Male,49,Married,Degree,British,White,"Above 36,400",The North,No,,,
183,Female,56,Married,GCSE/O Level,British,White,"Under 2,600",The North,No,,,
184,Male,60,Married,Degree,English,White,"15,600 to 20,800",The North,No,,,
185,Female,72,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
186,Male,17,Single,GCSE/O Level,English,White,"5,200 to 10,400",The North,No,,,
187,Female,23,Single,Degree,English,White,"20,800 to 28,600",The North,No,,,
188,Male,79,Married,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
189,Female,65,Separated,No Qualification,British,White,"2,600 to 5,200",The North,No,,,
190,Female,57,Married,Degree,English,White,"5,200 to 10,400",The North,No,,,
191,Female,37,Married,GCSE/O Level,British,White,"15,600 to 20,800",The North,No,,,
192,Male,79,Single,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
193,Female,71,Single,No Qualification,English,White,"2,600 to 5,200",The North,No,,,
194,Female,87,Widowed,No Qualification,Refused,Refused,Unknown,The North,No,,,
197,Female,66,Married,No Qualification,English,White,"Under 2,600",The North,No,,,
198,Male,58,Married,Higher/Sub Degree,Welsh,White,"28,600 to 36,400",The North,No,,,
200,Male,61,Widowed,Other/Sub Degree,Scottish,White,"15,600 to 20,800",The North,No,,,
201,Male,37,Separated,Degree,English,White,"Above 36,400",The North,No,,,
202,Female,38,Married,GCSE/O Level,English,White,"5,200 to 10,400",The North,No,,,
203,Male,34,Married,Degree,English,White,"28,600 to 36,400",The North,No,,,
204,Female,34,Married,Higher/Sub Degree,British,White,"10,400 to 15,600",The North,No,,,
205,Female,20,Single,GCSE/O Level,English,White,"2,600 to 5,200",The North,No,,,
209,Female,36,Married,GCSE/CSE,British,White,"5,200 to 10,400",The North,No,,,
211,Male,42,Married,GCSE/O Level,English,White,"5,200 to 10,400",The North,No,,,
212,Female,47,Married,Higher/Sub Degree,English,White,"Under 2,600",The North,No,,,
213,Male,42,Married,GCSE/CSE,British,White,"28,600 to 36,400",The North,No,,,
214,Female,67,Widowed,No Qualification,British,White,"2,600 to 5,200",The North,No,,,
215,Female,72,Single,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
217,Female,34,Single,Degree,English,White,"Above 36,400",The North,No,,,
218,Male,75,Married,No Qualification,English,White,"15,600 to 20,800",The North,No,,,
219,Female,35,Married,GCSE/O Level,English,White,"5,200 to 10,400",The North,No,,,
221,Female,46,Married,No Qualification,British,White,"15,600 to 20,800",The North,No,,,
222,Male,23,Married,GCSE/O Level,English,White,"15,600 to 20,800",The North,No,,,
223,Male,42,Married,GCSE/O Level,British,White,"10,400 to 15,600",The North,No,,,
224,Male,63,Married,No Qualification,English,White,"2,600 to 5,200",The North,No,,,
225,Female,33,Married,A Levels,British,White,"5,200 to 10,400",The North,No,,,
226,Female,31,Married,GCSE/O Level,English,White,"15,600 to 20,800",The North,No,,,
227,Male,54,Single,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
228,Female,33,Single,ONC/BTEC,British,White,"15,600 to 20,800",The North,No,,,
230,Female,80,Widowed,No Qualification,British,White,"5,200 to 10,400",The North,No,,,
231,Female,77,Single,No Qualification,English,White,"2,600 to 5,200",The North,No,,,
232,Male,51,Married,No Qualification,English,White,"10,400 to 15,600",The North,No,,,
233,Male,16,Single,GCSE/O Level,English,White,Refused,The North,No,,,
235,Female,75,Single,No Qualification,English,White,"2,600 to 5,200",The North,No,,,
236,Female,24,Single,Degree,Other,White,"5,200 to 10,400",The North,No,,,
238,Female,20,Single,GCSE/O Level,British,White,"5,200 to 10,400",The North,No,,,
239,Male,18,Single,GCSE/CSE,English,White,"5,200 to 10,400",The North,No,,,
240,Female,25,Separated,ONC/BTEC,English,White,"10,400 to 15,600",The North,No,,,
243,Female,67,Divorced,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
244,Female,79,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
245,Male,44,Single,No Qualification,British,White,"20,800 to 28,600",The North,No,,,
246,Male,47,Married,Degree,British,White,"20,800 to 28,600",The North,No,,,
247,Female,41,Divorced,GCSE/O Level,British,White,"10,400 to 15,600",The North,No,,,
249,Male,32,Married,Other/Sub Degree,Scottish,White,"10,400 to 15,600",The North,No,,,
250,Female,68,Widowed,No Qualification,English,White,Refused,The North,No,,,
251,Female,84,Widowed,No Qualification,British,White,"Under 2,600",The North,No,,,
252,Male,67,Married,No Qualification,English,White,"10,400 to 15,600",The North,No,,,
253,Male,49,Married,No Qualification,British,White,"10,400 to 15,600",The North,No,,,
256,Male,62,Married,No Qualification,English,White,"20,800 to 28,600",The North,No,,,
257,Male,52,Divorced,No Qualification,British,White,"5,200 to 10,400",The North,No,,,
258,Male,45,Married,ONC/BTEC,English,White,"28,600 to 36,400",The North,No,,,
260,Female,36,Single,GCSE/O Level,English,White,"10,400 to 15,600",The North,No,,,
261,Female,73,Divorced,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
262,Male,48,Widowed,No Qualification,English,White,"10,400 to 15,600",The North,No,,,
264,Female,38,Divorced,GCSE/O Level,British,White,"20,800 to 28,600",The North,No,,,
266,Male,43,Single,Other/Sub Degree,British,White,"15,600 to 20,800",The North,No,,,
267,Female,30,Single,Degree,English,White,"10,400 to 15,600",The North,No,,,
268,Female,70,Widowed,No Qualification,British,White,"5,200 to 10,400",The North,No,,,
269,Female,82,Widowed,No Qualification,British,White,"5,200 to 10,400",The North,No,,,
270,Female,78,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
272,Male,67,Widowed,No Qualification,English,White,"15,600 to 20,800",The North,No,,,
273,Male,16,Single,GCSE/O Level,English,White,Refused,The North,No,,,
277,Male,33,Single,GCSE/O Level,British,White,"15,600 to 20,800",The North,No,,,
278,Female,28,Married,No Qualification,British,White,"Under 2,600",The North,No,,,
281,Female,69,Divorced,GCSE/CSE,English,White,"2,600 to 5,200",The North,No,,,
282,Female,38,Married,GCSE/O Level,English,White,"5,200 to 10,400",The North,No,,,
284,Female,47,Married,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
286,Female,74,Married,No Qualification,English,White,"Under 2,600",The North,No,,,
287,Female,29,Married,GCSE/O Level,English,White,"Under 2,600",The North,No,,,
288,Female,23,Married,A Levels,Other,Asian,"Under 2,600",The North,No,,,
289,Female,72,Widowed,No Qualification,English,White,"2,600 to 5,200",The North,No,,,
291,Female,48,Married,No Qualification,British,Asian,"Under 2,600",The North,No,,,
292,Female,29,Married,GCSE/O Level,English,White,"5,200 to 10,400",The North,No,,,
293,Male,72,Married,Other/Sub Degree,English,Black,"5,200 to 10,400",The North,No,,,
294,Female,52,Married,No Qualification,English,White,Unknown,The North,No,,,
295,Female,68,Single,Degree,English,White,"5,200 to 10,400",The North,No,,,
297,Female,55,Married,GCSE/O Level,English,White,"10,400 to 15,600",The North,No,,,
299,Female,66,Widowed,No Qualification,British,White,"2,600 to 5,200",The North,No,,,
300,Female,33,Single,ONC/BTEC,British,White,"15,600 to 20,800",The North,No,,,
302,Male,42,Married,Degree,English,White,"20,800 to 28,600",The North,No,,,
304,Male,57,Married,Other/Sub Degree,English,White,"28,600 to 36,400",The North,No,,,
305,Female,36,Married,GCSE/O Level,English,White,"Under 2,600",The North,No,,,
306,Female,51,Married,GCSE/O Level,Scottish,White,"20,800 to 28,600",The North,No,,,
308,Female,69,Married,GCSE/O Level,English,White,"Under 2,600",The North,No,,,
309,Male,30,Single,Degree,English,White,"15,600 to 20,800",The North,No,,,
310,Male,51,Married,Higher/Sub Degree,English,White,"28,600 to 36,400",The North,No,,,
311,Female,63,Married,No Qualification,British,Asian,"5,200 to 10,400",The North,No,,,
312,Female,31,Single,Degree,English,White,"28,600 to 36,400",The North,No,,,
313,Male,58,Single,No Qualification,British,White,"10,400 to 15,600",The North,No,,,
316,Male,20,Single,A Levels,English,White,Refused,The North,No,,,
317,Female,45,Single,Degree,British,White,"15,600 to 20,800",The North,No,,,
318,Female,26,Married,GCSE/O Level,English,White,"5,200 to 10,400",The North,No,,,
319,Male,30,Single,Degree,British,White,"28,600 to 36,400",The North,No,,,
320,Female,43,Married,Degree,Other,White,Refused,The North,No,,,
321,Male,73,Widowed,Other/Sub Degree,English,White,"2,600 to 5,200",The North,No,,,
322,Female,52,Married,Higher/Sub Degree,British,White,"Under 2,600",The North,No,,,
324,Male,52,Married,No Qualification,English,White,"28,600 to 36,400",The North,No,,,
325,Male,33,Divorced,GCSE/O Level,English,White,"15,600 to 20,800",The North,No,,,
326,Female,56,Divorced,GCSE/O Level,English,White,"15,600 to 20,800",The North,No,,,
327,Female,65,Married,No Qualification,English,White,"2,600 to 5,200",The North,No,,,
328,Female,30,Single,No Qualification,British,White,"2,600 to 5,200",The North,No,,,
331,Male,74,Single,No Qualification,Refused,Refused,Refused,The North,No,,,
332,Female,44,Married,Degree,Welsh,White,"28,600 to 36,400",The North,No,,,
333,Female,80,Widowed,No Qualification,British,White,"2,600 to 5,200",The North,No,,,
334,Female,67,Married,No Qualification,English,White,"Under 2,600",The North,No,,,
335,Female,59,Married,No Qualification,British,White,Refused,The North,No,,,
337,Female,31,Married,ONC/BTEC,British,White,"15,600 to 20,800",The North,No,,,
338,Male,25,Single,GCSE/CSE,English,White,"15,600 to 20,800",The North,No,,,
339,Female,64,Married,No Qualification,English,White,"Under 2,600",The North,No,,,
340,Male,68,Married,Other/Sub Degree,English,White,"2,600 to 5,200",The North,No,,,
341,Female,61,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
342,Female,50,Divorced,No Qualification,English,White,"10,400 to 15,600",The North,No,,,
343,Male,43,Married,Higher/Sub Degree,British,Chinese,"Above 36,400",The North,No,,,
344,Female,19,Single,No Qualification,Other,Asian,"Under 2,600",The North,No,,,
345,Female,21,Married,GCSE/O Level,Other,Asian,"Under 2,600",The North,No,,,
346,Male,51,Divorced,Degree,English,White,"2,600 to 5,200",The North,No,,,
347,Male,65,Single,Other/Sub Degree,British,White,"5,200 to 10,400",The North,No,,,
348,Female,50,Separated,No Qualification,Other,Asian,"2,600 to 5,200",The North,No,,,
349,Female,38,Single,Other/Sub Degree,English,White,"2,600 to 5,200",The North,No,,,
350,Female,78,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
351,Male,74,Widowed,No Qualification,Other,Asian,"2,600 to 5,200",The North,No,,,
352,Female,22,Single,Degree,Other,Asian,"2,600 to 5,200",The North,No,,,
353,Male,66,Married,No Qualification,British,White,"5,200 to 10,400",The North,No,,,
354,Female,48,Single,No Qualification,English,White,"2,600 to 5,200",The North,No,,,
355,Female,59,Married,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
356,Female,69,Widowed,No Qualification,English,White,Unknown,The North,No,,,
358,Female,21,Single,ONC/BTEC,British,White,"2,600 to 5,200",The North,No,,,
359,Female,47,Married,GCSE/O Level,British,White,"10,400 to 15,600",The North,No,,,
360,Female,77,Widowed,No Qualification,British,White,"2,600 to 5,200",The North,No,,,
362,Female,71,Widowed,No Qualification,English,White,"2,600 to 5,200",The North,No,,,
364,Female,90,Widowed,No Qualification,English,White,"2,600 to 5,200",The North,No,,,
366,Female,69,Married,No Qualification,English,White,"Under 2,600",The North,No,,,
367,Female,35,Married,GCSE/O Level,British,White,"15,600 to 20,800",The North,No,,,
369,Female,48,Single,GCSE/O Level,British,White,"15,600 to 20,800",The North,No,,,
370,Female,34,Married,No Qualification,English,White,"2,600 to 5,200",The North,No,,,
372,Male,66,Married,No Qualification,English,White,Unknown,The North,No,,,
373,Male,56,Married,GCSE/CSE,English,White,"20,800 to 28,600",The North,No,,,
374,Male,51,Married,Other/Sub Degree,British,White,"10,400 to 15,600",The North,No,,,
375,Female,63,Married,No Qualification,British,White,"2,600 to 5,200",The North,No,,,
376,Male,44,Married,Degree,English,White,"28,600 to 36,400",The North,No,,,
377,Female,45,Married,Higher/Sub Degree,British,White,"10,400 to 15,600",The North,No,,,
379,Female,55,Married,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
380,Female,55,Married,A Levels,Scottish,White,Refused,The North,No,,,
381,Female,57,Married,GCSE/O Level,British,White,"2,600 to 5,200",The North,No,,,
382,Male,76,Married,A Levels,Scottish,White,"5,200 to 10,400",The North,No,,,
383,Female,59,Married,No Qualification,British,White,"5,200 to 10,400",The North,No,,,
384,Female,46,Married,No Qualification,British,White,"5,200 to 10,400",The North,No,,,
385,Female,56,Married,No Qualification,British,White,"Under 2,600",The North,No,,,
386,Male,67,Married,No Qualification,British,White,"5,200 to 10,400",The North,No,,,
387,Female,73,Single,Other/Sub Degree,English,White,"10,400 to 15,600",The North,No,,,
388,Female,82,Widowed,No Qualification,English,White,Refused,The North,No,,,
389,Male,75,Married,ONC/BTEC,English,White,Refused,The North,No,,,
390,Female,41,Married,Other/Sub Degree,English,White,"5,200 to 10,400",The North,No,,,
391,Female,40,Married,A Levels,British,White,"15,600 to 20,800",The North,No,,,
392,Male,37,Married,GCSE/O Level,English,White,"15,600 to 20,800",The North,No,,,
393,Male,53,Married,ONC/BTEC,English,White,"20,800 to 28,600",The North,No,,,
394,Female,35,Married,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
395,Female,39,Married,GCSE/O Level,English,White,"20,800 to 28,600",The North,No,,,
396,Female,31,Separated,Other/Sub Degree,English,White,"2,600 to 5,200",The North,No,,,
397,Male,38,Married,ONC/BTEC,British,White,"Above 36,400",The North,No,,,
400,Male,31,Single,Degree,English,White,"20,800 to 28,600",The North,No,,,
402,Male,35,Married,Degree,English,White,"20,800 to 28,600",The North,No,,,
403,Male,42,Married,No Qualification,British,White,"20,800 to 28,600",The North,No,,,
404,Male,30,Single,GCSE/CSE,English,White,"15,600 to 20,800",The North,No,,,
405,Female,39,Divorced,GCSE/O Level,British,White,"10,400 to 15,600",The North,No,,,
406,Female,47,Married,GCSE/O Level,Scottish,White,"10,400 to 15,600",The North,No,,,
407,Male,38,Married,Higher/Sub Degree,English,White,"20,800 to 28,600",The North,No,,,
408,Female,29,Divorced,A Levels,English,White,"15,600 to 20,800",The North,No,,,
409,Male,75,Widowed,No Qualification,British,White,"5,200 to 10,400",The North,No,,,
410,Female,47,Married,Higher/Sub Degree,British,White,Refused,The North,No,,,
411,Male,55,Married,No Qualification,English,White,"15,600 to 20,800",The North,No,,,
412,Male,42,Married,Higher/Sub Degree,Other,White,"Above 36,400",The North,No,,,
413,Female,39,Married,Degree,English,White,"Above 36,400",The North,No,,,
414,Male,64,Married,GCSE/O Level,English,White,"5,200 to 10,400",The North,No,,,
415,Female,84,Widowed,No Qualification,English,White,"2,600 to 5,200",The North,No,,,
416,Female,49,Married,Higher/Sub Degree,British,White,"5,200 to 10,400",The North,No,,,
417,Male,24,Single,Higher/Sub Degree,English,White,"10,400 to 15,600",The North,No,,,
419,Female,45,Married,Degree,Other,White,"15,600 to 20,800",The North,No,,,
420,Female,47,Divorced,GCSE/O Level,British,White,"5,200 to 10,400",The North,No,,,
421,Male,37,Divorced,Higher/Sub Degree,English,White,"28,600 to 36,400",The North,No,,,
422,Male,59,Married,Higher/Sub Degree,English,White,"5,200 to 10,400",The North,No,,,
423,Male,25,Single,Degree,Other,White,"28,600 to 36,400",The North,No,,,
424,Male,56,Married,No Qualification,English,White,"15,600 to 20,800",The North,No,,,
425,Female,71,Divorced,GCSE/CSE,British,White,"2,600 to 5,200",The North,No,,,
426,Male,81,Widowed,Higher/Sub Degree,English,White,"10,400 to 15,600",The North,No,,,
427,Male,55,Married,A Levels,English,White,"15,600 to 20,800",Midlands & East Anglia,No,,,
428,Male,42,Married,GCSE/CSE,English,White,"Above 36,400",Midlands & East Anglia,No,,,
429,Male,73,Married,No Qualification,English,White,"2,600 to 5,200",Midlands & East Anglia,No,,,
430,Male,43,Married,A Levels,English,White,"28,600 to 36,400",Midlands & East Anglia,No,,,
432,Female,47,Married,Degree,English,White,"Above 36,400",Midlands & East Anglia,No,,,
434,Female,30,Widowed,GCSE/CSE,British,White,"10,400 to 15,600",Midlands & East Anglia,No,,,
436,Female,58,Married,Degree,English,White,"28,600 to 36,400",Midlands & East Anglia,No,,,
437,Male,70,Widowed,No Qualification,British,White,"5,200 to 10,400",Midlands & East Anglia,No,,,
438,Male,18,Single,A Levels,British,White,Refused,Midlands & East Anglia,No,,,
439,Female,45,Single,No Qualification,British,White,"2,600 to 5,200",Midlands & East Anglia,No,,,
441,Female,44,Separated,GCSE/O Level,British,White,"10,400 to 15,600",Midlands & East Anglia,No,,,
442,Male,46,Married,Degree,British,White,"Above 36,400",Midlands & East Anglia,No,,,
443,Male,29,Married,Degree,British,White,"20,800 to 28,600",Midlands & East Anglia,No,,,
444,Male,50,Married,GCSE/O Level,English,White,"Above 36,400",Midlands & East Anglia,No,,,
445,Female,51,Married,No Qualification,British,White,"2,600 to 5,200",Midlands & East Anglia,No,,,
446,Male,80,Widowed,No Qualification,English,White,"5,200 to 10,400",Midlands & East Anglia,No,,,
447,Female,85,Married,A Levels,English,White,"5,200 to 10,400",Midlands & East Anglia,No,,,
448,Female,49,Married,No Qualification,British,White,"Under 2,600",Midlands & East Anglia,No,,,
449,Male,52,Married,No Qualification,British,White,"20,800 to 28,600",Midlands & East Anglia,No,,,
